national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description
306,III,Aggron,Bossgodora,steel,rock,Iron Armor Pokémon,50.2,49.8,2.1,360,45,8960,70,110,180,60,60,50,Sturdy,Rock Head,,Heavy Metal,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0,0,0,Aron,Level ,Lairon,Level ,Aggron,,,,Mega Aggron,,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
307,III,Meditite,Asanan,fighting,psychic,Meditate Pokémon,50,50,0.6,11.2,180,5120,30,40,55,40,55,60,Pure Power,,,Telepathy,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,0,0,0,Meditite,Level ,Medicham,,,,,,,,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends."
308,III,Medicham,Charem,fighting,psychic,Meditate Pokémon,50,50,1.3,31.5,90,5120,60,60,75,60,75,80,Pure Power,,,Telepathy,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,0,0,0,Meditite,Level ,Medicham,,,,,,Mega Medicham,,"It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pokémon hides its presence by merging itself with fields and mountains."
309,III,Electrike,Rakurai,electric,,Lightning Pokémon,50.2,49.8,0.6,15.2,120,5120,40,45,40,65,40,65,Static,Lightning Rod,,Minus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Electrike,Level ,Manectric,,,,,,,,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.
310,III,Manectric,Livolt,electric,,Discharge Pokémon,50.2,49.8,1.5,40.2,45,5120,70,75,60,105,60,105,Static,Lightning Rod,,Minus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Electrike,Level ,Manectric,,,,,,Mega Manectric,,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well."
311,III,Plusle,Prasle,electric,,Cheering Pokémon,50,50,0.4,4.2,200,5120,60,50,40,85,75,95,Plus,,,Lightning Rod,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Plusle,,,,,,,,,,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy."
312,III,Minun,Minun,electric,,Cheering Pokémon,50,50,0.4,4.2,200,5120,60,40,50,75,85,95,Minus,,,Volt Absorb,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Minun,,,,,,,,,,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,III,Volbeat,Barubeat,bug,,Firefly Pokémon,100,0,0.7,17.7,150,3840,65,73,75,47,85,85,Illuminate,Swarm,,Prankster,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Egg,When Male,Volbeat,,,,,,,,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise."
314,III,Illumise,Illumise,bug,,Firefly Pokémon,0,100,0.6,17.7,150,3840,65,47,75,73,85,85,Oblivious,Tinted Lens,,Prankster,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Egg,When Female,Illumise,,,,,,,,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
315,III,Roselia,Roselia,grass,poison,Thorn Pokémon,50.2,49.8,0.3,2,150,5120,50,60,45,100,80,65,Natural Cure,Poison Point,,Leaf Guard,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Budew,Level Up with Happiness Value at 220 During the Day,Roselia,Use Shiny Stone,Roserade,,,,,,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is."
316,III,Gulpin,Gokulin,poison,,Stomach Pokémon,50,50,0.4,10.3,225,5120,70,43,53,43,53,40,Liquid Ooze,Sticky Hold,,Gluttony,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Gulpin,Level ,Swalot,,,,,,,,"Virtually all of Gulpin’s body is its stomach. As a result, it can swallow something its own size. This Pokémon’s stomach contains a special fluid that digests anything."
317,III,Swalot,Marunoom,poison,,Poison Bag Pokémon,50,50,1.7,80,75,5120,100,73,83,73,83,55,Liquid Ooze,Sticky Hold,,Gluttony,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Gulpin,Level ,Swalot,,,,,,,,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth."
318,III,Carvanha,Kibanha,water,dark,Savage Pokémon,50.2,49.8,0.8,20.8,225,5120,45,90,20,65,20,65,Rough Skin,,,Speed Boost,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,0,0,0,Carvanha,Level ,Sharpedo,,,,,,,,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group."
319,III,Sharpedo,Samehader,water,dark,Brutal Pokémon,50.2,49.8,1.8,88.8,60,5120,70,120,40,95,40,95,Rough Skin,,,Speed Boost,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,0,0,0,Carvanha,Level ,Sharpedo,,,,,,Mega Sharpedo,,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph."
320,III,Wailmer,Hoeruko,water,,Ball Whale Pokémon,50.2,49.8,2,130,125,10240,130,70,35,70,35,60,Water Veil,Oblivious,,Pressure,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Wailmer,Level ,Wailord,,,,,,,,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.
321,III,Wailord,Whaloh,water,,Float Whale Pokémon,50.2,49.8,14.5,398,60,10240,170,90,45,90,45,60,Water Veil,Oblivious,,Pressure,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Wailmer,Level ,Wailord,,,,,,,,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
322,III,Numel,Donmel,fire,ground,Numb Pokémon,50,50,0.7,24,255,5120,60,60,40,65,45,35,Oblivious,Simple,,Own Tempo,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5,0,0,0,Numel,Level ,Camerupt,,,,,,,,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma."
323,III,Camerupt,Bakuuda,fire,ground,Eruption Pokémon,50,50,1.9,220,150,5120,70,100,70,105,75,40,Magma Armor,Solid Rock,,Anger Point,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5,0,0,0,Numel,Level ,Camerupt,,,,,,Mega Camerupt,,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma."
324,III,Torkoal,Cotoise,fire,,Coal Pokémon,50.2,49.8,0.5,80.4,90,5120,70,85,140,85,70,20,White Smoke,Drought,,Shell Armor,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Torkoal,,,,,,,,,,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
325,III,Spoink,Baneboo,psychic,,Bounce Pokémon,50,50,0.7,30.6,255,5120,60,25,35,70,80,60,Thick Fat,Own Tempo,,Gluttony,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Spoink,Level ,Grumpig,,,,,,,,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémon cannot afford to stop bouncing—if it stops, its heart will stop."
326,III,Grumpig,Boopig,psychic,,Manipulate Pokémon,50,50,0.9,71.5,60,5120,80,45,65,90,110,80,Thick Fat,Own Tempo,,Gluttony,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Spoink,Level ,Grumpig,,,,,,,,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored."
327,III,Spinda,Patcheel,normal,,Spot Panda Pokémon,50,50,1.1,5,255,3840,60,60,60,60,60,60,Own Tempo,Tangled Feet,,Contrary,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Spinda,,,,,,,,,,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.
328,III,Trapinch,Nuckrar,ground,,Ant Pit Pokémon,50.2,49.8,0.7,15,255,5120,45,100,45,45,45,10,Hyper Cutter,Arena Trap,,Sheer Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Trapinch,Level ,Vibrava,Level ,Flygon,,,,,,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
329,III,Vibrava,Vibrava,ground,dragon,Vibration Pokémon,50.2,49.8,1.1,15.3,120,5120,50,70,50,50,50,70,Levitate,,,,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Trapinch,Level ,Vibrava,Level ,Flygon,,,,,,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
330,III,Flygon,Flygon,ground,dragon,Mystic Pokémon,50.2,49.8,2,82,45,5120,80,100,80,80,80,100,Levitate,,,,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Trapinch,Level ,Vibrava,Level ,Flygon,,,,,,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
331,III,Cacnea,Sabonea,grass,,Cactus Pokémon,50,50,0.4,51.3,190,5120,50,85,40,85,40,35,Sand Veil,,,Water Absorb,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Cacnea,Level ,Cacturne,,,,,,,,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down."
332,III,Cacturne,Noctus,grass,dark,Scarecrow Pokémon,50,50,1.3,77.4,60,5120,70,115,60,115,60,55,Sand Veil,,,Water Absorb,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,0,0,0,Cacnea,Level ,Cacturne,,,,,,,,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops."
333,III,Swablu,Tyltto,normal,flying,Cotton Bird Pokémon,50.2,49.8,0.4,1.2,255,5120,45,40,60,40,75,50,Natural Cure,,,Cloud Nine,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Swablu,Level ,Altaria,,,,,,,,"Its cottony wings are full of air, making them light and fluffy to the touch. Swablu takes diligent care of its wings."
334,III,Altaria,Tyltalis,dragon,flying,Humming Pokémon,50.2,49.8,1.1,20.6,45,5120,75,70,90,70,105,80,Natural Cure,,,Cloud Nine,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,0,0,0,Swablu,Level ,Altaria,,,,,,Mega Altaria,,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience."
335,III,Zangoose,Zangoose,normal,,Cat Ferret Pokémon,50,50,1.3,40.3,90,5120,73,115,60,60,60,90,Immunity,,,Toxic Boost,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Zangoose,,,,,,,,,,Memories of battling its archrival Seviper are etched into every cell of Zangoose’s body. This Pokémon adroitly dodges attacks with incredible agility.
336,III,Seviper,Habunake,poison,,Fang Snake Pokémon,50,50,2.7,52.5,90,5120,73,100,60,100,60,65,Shed Skin,,,Infiltrator,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Seviper,,,,,,,,,,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pokémon attacks using its sword-edged tail.
337,III,Lunatone,Lunatone,rock,psychic,Meteorite Pokémon,,,1,168,45,6400,90,55,65,95,85,70,Levitate,,,,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,1,0,0,0,Lunatone,,,,,,,,,,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.
338,III,Solrock,Solrock,rock,psychic,Meteorite Pokémon,,,1.2,154,45,6400,90,95,85,55,65,70,Levitate,,,,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,1,0,0,0,Solrock,,,,,,,,,,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes."
339,III,Barboach,Dojoach,water,ground,Whiskers Pokémon,50.2,49.8,0.4,1.9,190,5120,50,48,43,46,41,60,Oblivious,Anticipation,,Hydration,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Barboach,Level ,Whiscash,,,,,,,,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
340,III,Whiscash,Namazun,water,ground,Whiskers Pokémon,50.2,49.8,0.9,23.6,75,5120,110,78,73,76,71,60,Oblivious,Anticipation,,Hydration,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Barboach,Level ,Whiscash,,,,,,,,"It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it."
341,III,Corphish,Heigani,water,,Ruffian Pokémon,50.2,49.8,0.6,11.5,205,3840,43,80,65,50,35,35,Hyper Cutter,Shell Armor,,Adaptability,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Corphish,Level ,Crawdaunt,,,,,,,,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive."
342,III,Crawdaunt,Shizariger,water,dark,Rogue Pokémon,50.2,49.8,1.1,32.8,155,3840,63,120,85,90,55,55,Hyper Cutter,Shell Armor,,Adaptability,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,0,0,0,Corphish,Level ,Crawdaunt,,,,,,,,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.
343,III,Baltoy,Yajilon,ground,psychic,Clay Doll Pokémon,,,0.5,21.5,255,5120,40,40,55,40,70,55,Levitate,,,,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,1,0,0,0,Baltoy,Level ,Claydol,,,,,,,,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.
344,III,Claydol,Nendoll,ground,psychic,Clay Doll Pokémon,,,1.5,108,90,5120,60,70,105,70,120,75,Levitate,,,,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,1,0,0,0,Baltoy,Level ,Claydol,,,,,,,,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago."
345,III,Lileep,Lilyla,rock,grass,Sea Lily Pokémon,88.14,11.86,1,23.8,45,7680,66,41,77,61,87,23,Suction Cups,,,Storm Drain,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,1,0,0,0,Lileep,Level ,Cradily,,,,,,,,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago."
346,III,Cradily,Yuradle,rock,grass,Barnacle Pokémon,88.14,11.86,1.5,60.4,45,7680,86,81,97,81,107,43,Suction Cups,,,Storm Drain,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,1,0,0,0,Lileep,Level ,Cradily,,,,,,,,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey."
347,III,Anorith,Anopth,rock,bug,Old Shrimp Pokémon,88.14,11.86,0.7,12.5,45,7680,45,95,50,40,50,75,Battle Armor,,,Swift Swim,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0,0,0,Anorith,Level ,Armaldo,,,,,,,,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws."
348,III,Armaldo,Armaldo,rock,bug,Plate Pokémon,88.14,11.86,1.5,68.2,45,7680,75,125,100,70,80,45,Battle Armor,,,Swift Swim,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0,0,0,Anorith,Level ,Armaldo,,,,,,,,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating."
349,III,Feebas,Hinbass,water,,Fish Pokémon,50.2,49.8,0.6,7.4,255,5120,20,15,20,10,55,80,Swift Swim,Oblivious,,Adaptability,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Feebas,Level up (Maximum Beauty),Milotic,,,,,,,,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research."
350,III,Milotic,Milokaross,water,,Tender Pokémon,50.2,49.8,6.2,162,60,5120,95,60,79,100,125,81,Marvel Scale,Competitive,,Cute Charm,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Feebas,Level up (Maximum Beauty),Milotic,,,,,,,,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.
351,III,Castform,Powalen,normal,fire,Weather Pokémon,50,50,0.3,0.8,45,6400,70,70,70,70,70,70,Forecast,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Castform,,,,,,,,,,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will."
352,III,Kecleon,Kakureon,normal,,Color Swap Pokémon,50,50,1,22,200,5120,60,90,70,60,120,40,Color Change,,,Protean,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Kecleon,,,,,,,,,,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself."
353,III,Shuppet,Kagebouzu,ghost,,Puppet Pokémon,50,50,0.6,2.3,225,6400,44,75,35,63,33,45,Insomnia,Frisk,,Cursed Body,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Shuppet,Level ,Banette,,,,,,,,"It eats up emotions like malice, jealousy, and resentment, so some people are grateful for its presence."
354,III,Banette,Juppeta,ghost,,Marionette Pokémon,50,50,1.1,12.5,45,6400,64,115,65,83,63,65,Insomnia,Frisk,,Cursed Body,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Shuppet,Level ,Banette,,,,,,Mega Banette,,"It’s a stuffed toy that was thrown away and became possessed, ever searching for the one who threw it away so it can exact its revenge."
355,III,Duskull,Yomawaru,ghost,,Requiem Pokémon,50.2,49.8,0.8,15,190,6400,20,40,90,30,90,25,Levitate,,,Frisk,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Duskull,Level ,Dusclops,Trade with  Reaper Cloth,Dusknoir,,,,,,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said."
356,III,Dusclops,Samayouru,ghost,,Beckon Pokémon,50.2,49.8,1.6,30.6,90,6400,40,70,130,60,130,25,Pressure,,,Frisk,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Duskull,Level ,Dusclops,Trade with  Reaper Cloth,Dusknoir,,,,,,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole."
357,III,Tropius,Tropius,grass,flying,Fruit Pokémon,50,50,2,100,200,6400,99,68,83,72,87,51,Chlorophyll,Solar Power,,Harvest,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0,0,0,Tropius,,,,,,,,,,The bunches of fruit growing around the necks of Tropius in Alola are especially sweet compared to those in other regions.
358,III,Chimecho,Chirean,psychic,,Wind Chime Pokémon,50,50,0.6,1,45,6400,75,50,80,95,90,65,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Chingling,Level Up with Happiness Value at 220 During the Night,Chimecho,,,,,,,,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,III,Absol,Absol,dark,,Disaster Pokémon,50.2,49.8,1.2,47,30,6400,65,130,60,75,60,75,Pressure,Super Luck,,Justified,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Absol,,,,,,,,Mega Absol,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
360,III,Wynaut,Sohnano,psychic,,Bright Pokémon,50.2,49.8,0.6,14,125,5120,95,23,48,23,48,23,Shadow Tag,,,Telepathy,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Wynaut,Level ,Wobbuffet,,,,,,,,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
361,III,Snorunt,Yukiwarashi,ice,,Snow Hat Pokémon,50.2,49.8,0.7,16.8,190,5120,50,50,50,50,50,50,Inner Focus,Ice Body,,Moody,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,0,0,0,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,,,,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
362,III,Glalie,Onigohri,ice,,Face Pokémon,50.2,49.8,1.5,256.5,75,5120,80,80,80,80,80,80,Inner Focus,Ice Body,,Moody,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,0,0,0,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,,Mega Glalie,,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
363,III,Spheal,Tamazarashi,ice,water,Clap Pokémon,50.2,49.8,0.8,39.5,255,5120,70,40,50,55,50,25,Thick Fat,Ice Body,,Oblivious,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,0,0,0,Spheal,Level ,Sealeo,Level ,Walrein,,,,,,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.
364,III,Sealeo,Todoggler,ice,water,Ball Roll Pokémon,50.2,49.8,1.1,87.6,120,5120,90,60,70,75,70,45,Thick Fat,Ice Body,,Oblivious,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,0,0,0,Spheal,Level ,Sealeo,Level ,Walrein,,,,,,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent."
365,III,Walrein,Todoseruga,ice,water,Ice Break Pokémon,50.2,49.8,1.4,150.6,45,5120,110,80,90,95,90,65,Thick Fat,Ice Body,,Oblivious,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,0,0,0,Spheal,Level ,Sealeo,Level ,Walrein,,,,,,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life."
366,III,Clamperl,Pearlulu,water,,Bivalve Pokémon,50,50,0.4,52.5,255,5120,35,64,85,74,55,32,Shell Armor,,,Rattled,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,,,,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving."
367,III,Huntail,Huntail,water,,Deep Sea Pokémon,50,50,1.7,27,60,5120,55,104,105,94,75,52,Swift Swim,,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,,,,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.
368,III,Gorebyss,Sakurabyss,water,,South Sea Pokémon,50,50,1.8,22.6,60,5120,55,84,105,114,75,52,Swift Swim,,,Hydration,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Clamperl,Trade with  Deep Sea Tooth,Huntail,Trade with  Deep Sea Scale,Gorebyss,,,,,,The color of its body changes with the water temperature. The coloration of Gorebyss in Alola is almost blindingly vivid.
369,III,Relicanth,Glanth,water,rock,Longevity Pokémon,88.14,11.86,1,23.4,25,10240,100,90,130,45,65,55,Swift Swim,Rock Head,,Sturdy,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0,0,0,Relicanth,,,,,,,,,,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.
370,III,Luvdisc,Lovecus,water,,Rendezvous Pokémon,24.6,75.4,0.6,8.7,225,5120,43,30,55,40,65,97,Swift Swim,,,Hydration,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Luvdisc,,,,,,,,,,There was an era when it was overfished due to the rumor that having one of its heart-shaped scales would enable you to find a sweetheart.
371,III,Bagon,Tatsubay,dragon,,Rock Head Pokémon,50.2,49.8,0.6,42.1,45,10240,45,75,60,40,30,50,Rock Head,,,Sheer Force,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,0,0,0,Bagon,Level ,Shelgon,Level ,Salamence,,,,,,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly."
372,III,Shelgon,Komoruu,dragon,,Endurance Pokémon,50.2,49.8,1.1,110.5,45,10240,65,95,100,60,50,50,Rock Head,,,Overcoat,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,0,0,0,Bagon,Level ,Shelgon,Level ,Salamence,,,,,,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.
373,III,Salamence,Bohmander,dragon,flying,Dragon Pokémon,50.2,49.8,1.5,102.6,45,10240,95,135,80,110,80,100,Intimidate,,,Moxie,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,0,0,0,Bagon,Level ,Shelgon,Level ,Salamence,,,,Mega Salamence,,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
374,III,Beldum,Dumbber,steel,psychic,Iron Ball Pokémon,,,0.6,95.2,3,10240,40,55,80,35,60,30,Clear Body,,,Light Metal,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,0,0,0,Beldum,Level ,Metang,Level ,Metagross,,,,,,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws."
